id,title,description,manufacturer,price
b0000aka82,studyworks! teaching pro: middle school math & science (win/mac),studyworks teaching pro middle school math & science is the right mix of learning methods and math applications for build top-notch test-taking skills.,global software publishing,29.99
b000bnb72g,movies on psp,x-zoom movies on psp is the first commercial video & dvd software for the sony psp. it enables you to quickly convert your dvds or movie files into a format your psp can read and understand. get the best possible picture and audio quality for 10 different input formats: dvd (s)vcd divx avi wmv real mpeg and quicktime. over 10 presets make conversion easy and the fit-to-stick technology resizes movie files to your memory stick size.,x-oom,0.0
b0002e3g6o,eastwest bsendorfer 290 grand piano virtual instrument,the 5-star awarded pmi bdorfer 290 is simply the best sampled bdorfer 290 grand piano on the planet - and now it's available as a 24-bit plug-in for the first time.,eastwest,199.95
b00008ajjc,passwords plus 1.0,passwords plus stores all your personal information safely and securely in one spot. keep your pins passwords credit card numbers bank accounts frequent flyer info and more from falling into the wrong hands. the software synchronizes your pc and mobile devices always ensuring your personal information is up-to-date when and where you need it. you can even synchronize your handheld with both your work and home pc. also it keeps your personal information truly safe and secure with industry-standard 128-bit blowfish encryption so your information is safe whether it is stored on your pc handheld or smartphone.,dataviz,29.99
b0006g2wke,microsoft licenses project svr sa govt (h2200301),microsoft project server win32 english software assurance open license program local government,microsoft licenses,3601.4
b0000c6fjm,microsoft office frontpage 2003 ( academic version ) ( windows ),frontpage 2003 delivers the features flexibility and functionality to help you build superior web sites. it includes the professional design authoring data and publishing tools you need to create dynamic and sophisticated sites. build data-driven web sites enables by windows sharepoint services move files easily between local and remote locations and publish in both directions,microsoft,159.98
b0008ews9o,instant immersion french 2.0,instant immersion version 2.0 moves you from a beginner to an intermediate speaker with a 5 cd-rom course of study. including talk now! talk more and world talk from eurotalk. finally test your linguistic skills with who is oscar lake a challenging interactive mystery game.,topics entertainment,29.99
b000056b62,cook'n vegetarian,featuring recipes for tasty and healthful meatless dishes made with fresh ingredients the cook'n vegetarian cd also includes a selection of almost-instant recipes with preparation times of 30 minutes or less. many of the cook'n vegetarian cd's recipes use less fats sugars and salts and bring out the natural nutritional properties in everyday foods. recipe selection is made simple: type in what ingredients you have on hand and search for recipes utilizing those ingredients. other features include:hundreds of full-color food photos organize your own recipes e-mail recipes to your friends print your recipes on decorative 3-by-5 cards create weekly menus make grocery shopping lists search the internet for coupons analyze the nutritional value of your recipes download recipes and shopping lists to your palm pilot,dvo enterprises,19.99
b000fbk6gc,hidden expedition: titanic,hidden expedition: titanic immerses you in an epic expedition. on april 14 1912 the steamship rms titanic struck an iceberg. within hours it sank to the bottom of the atlantic ocean. as part of the hidden expedition adventure league it is your job to explore the wreckage of this once-majestic ship and collect antique artifacts for the titanic museum. get ready to lose yourself in a historic adventure of epic proportions!,activision,19.99
b000ozhfsq,tlc dr. seuss reading learning system 2008,tlc dr. seuss reading learning system builds important early reading skills such as word recognition vocabulary and reading comprehension through proven unique and interactive learning techniques. your child will be engrossed in building their reading skills in the wonderfully witty world of dr. seuss! learn letters & sounds listen to the story read on your own learning fundamental reading skills is fun when it's part of a complete learning system! follow along as the story is read or click on objects and play games in this delightful adaptation of dr. seuss classic books green eggs & ham and cat in a hat. hidden surprises on each page will engage and teach your child the following skills: rhyming matching colors increased vocabulary word recognition reading comprehension computer familiarity spatial relationships causal relationships the cat in the hat along with the cat in the hat come thing one and thing two and they're all here together to have fun with you. build essential reading skills with games and activities on every page. green eggs & ham 19 interactive pages of dr. seuss's green eggs and ham are filled with clickable animated surprises and reading activities. build a solid reading foundation while having fun! track your child's progress using a progress chart set goals for your child as they learn and play in the magical world of dr. seuss. reward the progress with colorful star stickers. also includes helpful tips for parents on how to create a positive learning experience. plus a bonus dr. seuss daisy-head mayzie dvd to further enhance the child's learning with exciting educational video content. mayzie learns that love is more important than fame and fortune. this is an endearing morality tale for our time and children of all ages.,encore,19.99
b000e6q3em,pantone reference library,model- gps206 vendor- pantone features- pantone reference library pantone reference library is the perfect tool for design firms print shops corporate communications or anyone who requires a complete source for graphic color choices. the latest library has been designed with a bold new look to display the most innovative collection of pantone guides and books ever offered: - formula guides (coated uncoated matte) - color bridge coated - solid in hexachrome guide coated - metallic formula guide + chips - pastel formula guide + chips - tints four-guide set - 4-color process guides (coated uncoated) - solid chips three-book set manufacturer warranty:andnbsp;andnbsp;90 days,pantone inc.,1623.06
b00099qrok,autodesk discreet combustion 4 ( windows ),combustion 4 offers an easy-to-use interface non-destructive workflow and extensive toolset designed to help you bring your imagination to life while getting your work done faster. whether your task is to produce professional video motion graphics repurpose video content for the web or create effects for feature films or hdtv combustion 4 software delivers the first-rate power you need. key features and capabilities include:,autodesk,0.0
b000ecoami,ca arcserve bkup r11.5 win dro sp1 prod only,server disasters can and do happen: fire flood theft fraud virus or human error to name a few. the disaster recovery option simplifies and streamlines rebuilding of the server by automating the restoration of your operating system and preferences. you'll then be able to quickly recover your data and drastically cut down the time to recover from a server disaster. a backup/recovery solution isn't usable until you get your server quickly restored to its original state and ready for recovery of the data you have backed up. it ensures rapid bare-metal restoration of the downed server with no need to reinstall the operating system or brightstor arcserve backup. you can even restore by local-attached/remote tape drives via ethernet or san. users can create boot diskettes and obdr (one-button disaster recovery) tape drives further simplifying the recovery process.,computer associates,0.0
