name,address,city,cuisine,unique_id
103 west, 103 w. paces ferry rd., atlanta, continental,675
20 mott, 20 mott st.  between bowery and pell st., new york, asian,172
21 club, 21 w. 52nd st., new york, american,23
2223, 2223 market st., san francisco, american,453
9 jones street, 9 jones st., new york, american,173
abbey, 163 ponce de leon ave., atlanta, international,379
abruzzi, 2355 peachtree rd.  peachtree battle shopping center, atlanta, italian,74
acquarello, 1722 sacramento st., san francisco, italian,454
adrianos ristorante, 2930 beverly glen circle, los angeles, italian,112
adrienne, 700 5th ave. at 55th st., new york, french,174
afghan kebab house, 764 ninth ave., new york city, afghan,602
agrotikon, 322 e. 14 st.  between 1st and 2nd aves., new york, mediterranean,175
aja, 937 broadway at 22nd st., new york, american,176
alain rondelli, 126 clement st., san francisco, french,94
alamo, 304 e. 48th st., new york, mexican,177
alecks barbecue heaven, 783 martin luther king jr. dr., atlanta, barbecue,380
alleys end, 311 w. 17th st., new york, american,178
alons at the terrace, 659 peachtree st., atlanta, sandwiches,676
ambassador grill, 1 united nations plaza at 44th st., new york, american,179
american place, 2 park ave. at 32nd st., new york, american,180
anche vivolo, 222 e. 58th st.  between 2nd and 3rd aves., new york, italian,181
andres french restaurant, 401 s. 6th st., las vegas, french (classic),656
annies thai castle, 3195 roswell rd., atlanta, asian,381
anthonys, 3109 piedmont rd.  just south of peachtree rd., atlanta, american,382
antonios, 3700 w. flamingo, las vegas, italian,423
apple pan  the, 10801 w. pico blvd., west la, american,534
aquavit, 13 w. 54th st., new york, continental,24
aqua, 252 california st., san francisco, seafood,95
arcadia, 21 e. 62nd st., new york city, american (new),603
arizona, 206 206 e. 60th st., new york, american,182
arnie mortons of chicago, 435 s. la cienega blv., los angeles, american,0
arturos, 106 w. houston st.  off thompson st., new york, italian,183
arts delicatessen, 12224 ventura blvd., studio city, american,1
asahi ramen, 2027 sawtelle blvd., west la, noodle shops,535
atlanta fish market, 265 pharr rd., atlanta, american,383
au mandarin, 200-250 vesey st. world financial center, new york, asian,184
aureole, 34 e. 61st st., new york, american,25
bacchanalia, 3125 piedmont rd.  near peachtree rd., atlanta, international,75
baja fresh, 3345 kimber dr., westlake village, mexican,536
bakers cajun cafe, 1134 euclid ave., atlanta, cajun/creole,677
ballys big kitchen, 3645 las vegas blvd. s, las vegas, buffets,424
bamboo garden, 4850 flamingo rd., las vegas, asian,425
bar anise, 1022 3rd ave.  between 60th and 61st sts., new york, mediterranean,185
